ma_nguoi_dung,ten,ngay_sinh,tai_khoan,mat_khau,email,so_dien_thoai,is_admin,gioi_tinh
1,Nam,1991-09-29,nam,$2b$10$SJCUVhgTtYGYEfPYQWHKmeCMSUhM/vXKGSSEnEFf/0Cp.KI0Z9CR6,nam@gmail.com,0912345678,0,1
2,Dung,1991-09-30,dung,$2b$10$SJCUVhgTtYGYEfPYQWHKmeCMSUhM/vXKGSSEnEFf/0Cp.KI0Z9CR6,dung@gmail.com,0912345679,0,1
3,Teo,1991-10-01,teo,$2b$10$SJCUVhgTtYGYEfPYQWHKmeCMSUhM/vXKGSSEnEFf/0Cp.KI0Z9CR6,teo@gmail.com,0912345680,0,1
4,Ty,1991-10-02,ty,$2b$10$SJCUVhgTtYGYEfPYQWHKmeCMSUhM/vXKGSSEnEFf/0Cp.KI0Z9CR6,ty@gmail.com,0912345681,0,1
5,Leo,1991-10-03,leo,$2b$10$SJCUVhgTtYGYEfPYQWHKmeCMSUhM/vXKGSSEnEFf/0Cp.KI0Z9CR6,leo@gmail.com,0912345682,0,1
6,John,1991-10-04,john,$2b$10$SJCUVhgTtYGYEfPYQWHKmeCMSUhM/vXKGSSEnEFf/0Cp.KI0Z9CR6,john@gmail.com,0912345683,0,1
7,Peter,1991-10-05,peter,$2b$10$SJCUVhgTtYGYEfPYQWHKmeCMSUhM/vXKGSSEnEFf/0Cp.KI0Z9CR6,peter@gmail.com,0912345684,0,1
8,Susan,1991-10-06,susan,$2b$10$SJCUVhgTtYGYEfPYQWHKmeCMSUhM/vXKGSSEnEFf/0Cp.KI0Z9CR6,susan@gmail.com,0912345685,0,0
9,Hoang,1991-10-07,hoang,$2b$10$SJCUVhgTtYGYEfPYQWHKmeCMSUhM/vXKGSSEnEFf/0Cp.KI0Z9CR6,hoang@gmail.com,0912345686,0,1
10,Thanh,1991-10-08,thanh,$2b$10$SJCUVhgTtYGYEfPYQWHKmeCMSUhM/vXKGSSEnEFf/0Cp.KI0Z9CR6,thanh@gmail.com,0912345687,0,0
11,Phuc,1991-10-09,phuc,$2b$10$SJCUVhgTtYGYEfPYQWHKmeCMSUhM/vXKGSSEnEFf/0Cp.KI0Z9CR6,phuc@gmail.com,0912345688,0,1
12,Viet,1991-10-10,viet,$2b$10$SJCUVhgTtYGYEfPYQWHKmeCMSUhM/vXKGSSEnEFf/0Cp.KI0Z9CR6,viet@gmail.com,0912345689,0,1
13,Tuan,1991-10-11,tuan,$2b$10$SJCUVhgTtYGYEfPYQWHKmeCMSUhM/vXKGSSEnEFf/0Cp.KI0Z9CR6,tuan@gmail.com,0912345690,0,1
14,Hung,1991-10-12,hung,$2b$10$SJCUVhgTtYGYEfPYQWHKmeCMSUhM/vXKGSSEnEFf/0Cp.KI0Z9CR6,hung@gmail.com,0912345691,0,1
15,Thuy,1991-10-12,thuy,$2b$10$SJCUVhgTtYGYEfPYQWHKmeCMSUhM/vXKGSSEnEFf/0Cp.KI0Z9CR6,thuy@gmail.com,0912345691,0,1
16,Thu,1991-10-12,thu,$2b$10$SJCUVhgTtYGYEfPYQWHKmeCMSUhM/vXKGSSEnEFf/0Cp.KI0Z9CR6,thu@gmail.com,0912345691,0,1
17,Thuyen,1991-10-12,thuyen,$2b$10$SJCUVhgTtYGYEfPYQWHKmeCMSUhM/vXKGSSEnEFf/0Cp.KI0Z9CR6,thuyen@gmail.com,0912345691,0,1
18,Thao,1991-10-12,thao,$2b$10$SJCUVhgTtYGYEfPYQWHKmeCMSUhM/vXKGSSEnEFf/0Cp.KI0Z9CR6,thao@gmail.com,0912345691,0,1
19,The,1991-10-12,the,$2b$10$SJCUVhgTtYGYEfPYQWHKmeCMSUhM/vXKGSSEnEFf/0Cp.KI0Z9CR6,the@gmail.com,0912345691,0,1
20,Hưng,1991-10-12,thehung20,$2b$10$SJCUVhgTtYGYEfPYQWHKmeCMSUhM/vXKGSSEnEFf/0Cp.KI0Z9CR6,hung20@gmail.com,0912345691,0,1
21,Hải,1991-10-12,haithanh21,$2b$10$SJCUVhgTtYGYEfPYQWHKmeCMSUhM/vXKGSSEnEFf/0Cp.KI0Z9CR6,hai21@gmail.com,0912345691,0,1
22,Trí,1991-10-12,vantrithanh,$2b$10$SJCUVhgTtYGYEfPYQWHKmeCMSUhM/vXKGSSEnEFf/0Cp.KI0Z9CR6,vantri22@gmail.com,0912345691,0,1
